"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Sweet Pumpkin, State : Karnataka"
"Commodity : Sweet Pumpkin, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,21.200000000000003,Sweet Pumpkin,900.0,1100.0,1000.0
03/12/2025,16.8,Sweet Pumpkin,900.0,1100.0,1000.0
04/12/2025,6.5,Sweet Pumpkin,1000.0,1200.0,1100.0
05/12/2025,22.200000000000003,Sweet Pumpkin,1000.0,1200.0,1100.0
15/12/2025,13.0,Sweet Pumpkin,900.0,1100.0,1000.0
16/12/2025,5.0,Sweet Pumpkin,900.0,1100.0,1000.0
17/12/2025,29.0,Sweet Pumpkin,900.0,1100.0,1000.0
18/12/2025,41.0,Sweet Pumpkin,900.0,1100.0,1000.0
19/12/2025,33.0,Sweet Pumpkin,900.0,1100.0,1000.0
20/12/2025,39.5,Sweet Pumpkin,900.0,1100.0,1000.0
22/12/2025,10.0,Sweet Pumpkin,800.0,1000.0,900.0
23/12/2025,38.0,Sweet Pumpkin,800.0,1000.0,900.0
24/12/2025,5.0,Sweet Pumpkin,900.0,1100.0,1000.0
26/12/2025,15.0,Sweet Pumpkin,800.0,1000.0,900.0
29/12/2025,77.5,Sweet Pumpkin,800.0,1000.0,900.0
30/12/2025,6.5,Sweet Pumpkin,800.0,1000.0,900.0
31/12/2025,1.5,Sweet Pumpkin,1400.0,2000.0,1700.0
Market Name : Davangere APMC
03/12/2025,1.0,Sweet Pumpkin,900.0,1400.0,1200.0
09/12/2025,1.0,Sweet Pumpkin,900.0,1400.0,1200.0
10/12/2025,0.5,Sweet Pumpkin,1000.0,1500.0,1300.0
11/12/2025,1.0,Sweet Pumpkin,1000.0,1700.0,1400.0
12/12/2025,0.8,Sweet Pumpkin,900.0,1600.0,1300.0
16/12/2025,1.0,Sweet Pumpkin,1000.0,1800.0,1400.0
17/12/2025,0.5,Sweet Pumpkin,900.0,1700.0,1300.0
18/12/2025,1.0,Sweet Pumpkin,1000.0,1900.0,1700.0
19/12/2025,0.5,Sweet Pumpkin,1000.0,2000.0,1500.0
20/12/2025,0.4,Sweet Pumpkin,2000.0,2900.0,2500.0
23/12/2025,1.5,Sweet Pumpkin,1000.0,1900.0,1500.0
24/12/2025,1.0,Sweet Pumpkin,900.0,1700.0,1300.0
26/12/2025,1.0,Sweet Pumpkin,1000.0,1500.0,1300.0
30/12/2025,0.5,Sweet Pumpkin,1700.0,2700.0,2200.0
31/12/2025,0.5,Sweet Pumpkin,1700.0,2800.0,2200.0
Market Name : Mysore (Bandipalya) APMC
11/12/2025,5.800000000000001,Sweet Pumpkin,600.0,800.0,700.0
15/12/2025,6.300000000000001,Sweet Pumpkin,500.0,700.0,600.0
16/12/2025,6.5,Sweet Pumpkin,500.0,700.0,600.0
22/12/2025,8.5,Sweet Pumpkin,500.0,700.0,600.0
29/12/2025,8.5,Sweet Pumpkin,500.0,700.0,600.0
30/12/2025,6.9,Sweet Pumpkin,600.0,800.0,700.0
Market Name : Ramanagara APMC
01/12/2025,1.4000000000000001,Sweet Pumpkin,1000.0,1600.0,1200.0
02/12/2025,1.5,Sweet Pumpkin,1000.0,1500.0,1200.0
03/12/2025,1.1,Sweet Pumpkin,1600.0,2000.0,1800.0
04/12/2025,1.2000000000000002,Sweet Pumpkin,1600.0,2000.0,1800.0
05/12/2025,1.6,Sweet Pumpkin,1500.0,1800.0,1600.0
06/12/2025,1.4000000000000001,Sweet Pumpkin,1000.0,1600.0,1200.0
07/12/2025,1.2000000000000002,Sweet Pumpkin,1000.0,1600.0,1200.0
08/12/2025,1.5,Sweet Pumpkin,800.0,1200.0,1000.0
09/12/2025,1.4000000000000001,Sweet Pumpkin,1000.0,1500.0,1200.0
10/12/2025,1.2000000000000002,Sweet Pumpkin,1000.0,1500.0,1200.0
11/12/2025,1.2000000000000002,Sweet Pumpkin,1000.0,1500.0,1200.0
12/12/2025,1.3,Sweet Pumpkin,800.0,1600.0,1000.0
13/12/2025,1.2000000000000002,Sweet Pumpkin,1000.0,1600.0,1200.0
14/12/2025,1.2000000000000002,Sweet Pumpkin,1000.0,1500.0,1200.0
15/12/2025,1.6,Sweet Pumpkin,1000.0,1600.0,1200.0
16/12/2025,1.4000000000000001,Sweet Pumpkin,1000.0,1600.0,1200.0
17/12/2025,1.2000000000000002,Sweet Pumpkin,800.0,1600.0,1200.0
18/12/2025,1.5,Sweet Pumpkin,1200.0,2000.0,1600.0
19/12/2025,1.0,Sweet Pumpkin,1000.0,1600.0,1400.0
20/12/2025,1.6,Sweet Pumpkin,1000.0,1500.0,1200.0
21/12/2025,1.2000000000000002,Sweet Pumpkin,1000.0,1600.0,1400.0
22/12/2025,1.4000000000000001,Sweet Pumpkin,1000.0,1600.0,1400.0
23/12/2025,1.3,Sweet Pumpkin,800.0,1600.0,1400.0
24/12/2025,1.6,Sweet Pumpkin,1000.0,1600.0,1200.0
26/12/2025,1.1,Sweet Pumpkin,800.0,1200.0,1000.0
27/12/2025,1.4000000000000001,Sweet Pumpkin,800.0,1300.0,1000.0
29/12/2025,1.0,Sweet Pumpkin,800.0,1300.0,1000.0
30/12/2025,1.8,Sweet Pumpkin,800.0,1200.0,1000.0
31/12/2025,2.4000000000000004,Sweet Pumpkin,800.0,1200.0,1000.0
