"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Wheat, State : Karnataka"
"Commodity : Wheat, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bagalakot APMC
11/12/2025,26.200000000000003,Sona,2800.0,2800.0,2800.0
Market Name : Bijapur APMC
02/12/2025,52.0,Sona,2600.0,3108.0,2854.0
04/12/2025,15.0,Sona,2600.0,2600.0,2600.0
10/12/2025,0.2,Sona,2352.0,2352.0,2352.0
11/12/2025,18.400000000000002,Sona,2600.0,2600.0,2600.0
16/12/2025,15.4,Sona,2633.0,2800.0,2700.0
20/12/2025,1.0,Sona,2925.0,2925.0,2925.0
24/12/2025,10.0,Sona,3100.0,3100.0,3100.0
Market Name : Davangere APMC
10/12/2025,8.5,Super Fine,2400.0,3701.0,3001.0
19/12/2025,2.8000000000000003,Super Fine,2400.0,2400.0,2400.0
29/12/2025,6.300000000000001,Super Fine,2400.0,2400.0,2400.0
Market Name : Honnali APMC
30/12/2025,2.5,Super Fine,2600.0,2600.0,2600.0
31/12/2025,12.0,Super Fine,2600.0,2600.0,2600.0
Market Name : Hospet APMC
01/12/2025,6.9,Other,3471.0,3471.0,3471.0
13/12/2025,9.5,Other,3471.0,3471.0,3471.0
17/12/2025,13.0,Other,3100.0,3471.0,3471.0
Market Name : Hubli (Amaragol) APMC
01/12/2025,0.30000000000000004,Jawari,2369.0,3199.0,2813.0
,8.4,Local,2525.0,3600.0,3500.0
02/12/2025,0.2,Jawari,2416.0,2416.0,2416.0
,14.3,Local,3100.0,3746.0,3200.0
03/12/2025,0.1,Jawari,2122.0,2122.0,2122.0
04/12/2025,27.400000000000002,Jawari,2229.0,3535.0,2882.0
09/12/2025,0.6000000000000001,Jawari,2309.0,2430.0,2420.0
,47.400000000000006,Local,2575.0,3690.0,3250.0
10/12/2025,5.300000000000001,Jawari,2216.0,2406.0,2359.0
11/12/2025,60.5,Jawari,2226.0,2610.0,2426.0
12/12/2025,1.3,Jawari,2310.0,3370.0,3370.0
15/12/2025,3.6,Local,3200.0,3211.0,3201.0
16/12/2025,24.0,Local,3421.0,3421.0,3421.0
,1.4000000000000001,Jawari,2811.0,3811.0,3051.0
17/12/2025,0.2,Jawari,2011.0,2511.0,2300.0
18/12/2025,10.5,Local,3200.0,3233.0,3215.0
,1.7000000000000002,Jawari,2449.0,3329.0,3185.0
20/12/2025,4.4,Jawari,2309.0,4231.0,2840.0
,7.800000000000001,Local,3294.0,3421.0,3320.0
22/12/2025,3.5,Jawari,2319.0,4325.0,2731.0
,15.8,Local,2580.0,3250.0,3000.0
24/12/2025,0.5,Jawari,2429.0,4302.0,3261.0
,12.9,Local,3250.0,3813.0,3500.0
29/12/2025,15.0,Local,2000.0,2000.0,2000.0
,3.0,Jawari,2229.0,5025.0,3328.0
30/12/2025,5.800000000000001,Local,3200.0,3420.0,3260.0
,0.4,Jawari,2539.0,2689.0,2577.0
31/12/2025,0.2,Local,2411.0,4211.0,3020.0
,5.0,Super Fine,2550.0,2550.0,2550.0
Market Name : Kudchi APMC
15/12/2025,2.0,White,4900.0,50200.0,5000.0
Market Name : Malur APMC
31/12/2025,1350.0,Local,2600.0,3000.0,2882.0
