"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Arhar Dal(Tur Dal), State : Karnataka"
"Commodity : Arhar Dal(Tur Dal), State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
10/12/2025,11.8,Arhar Dal(Tur),8000.0,9200.0,8500.0
18/12/2025,0.6000000000000001,Arhar Dal(Tur),8500.0,9500.0,9100.0
19/12/2025,5.7,Arhar Dal(Tur),9400.0,9700.0,9568.0
29/12/2025,2.1,Arhar Dal(Tur),9000.0,9500.0,9200.0
31/12/2025,17.7,Arhar Dal(Tur),9000.0,9500.0,9350.0
Market Name : Bijapur APMC
12/12/2025,2.4000000000000004,Arhar Dal(Tur),8600.0,8600.0,8600.0
Market Name : Hiriyur APMC
21/12/2025,4.5,Arhar Dal(Tur),9500.0,9500.0,9500.0
Market Name : Hospet APMC
10/12/2025,2.4000000000000004,Arhar Dal(Tur),9200.0,9200.0,9200.0
Market Name : Hubli (Amaragol) APMC
02/12/2025,0.6000000000000001,Arhar Dal(Tur),8125.0,8125.0,8125.0
04/12/2025,9.9,Arhar Dal(Tur),6800.0,8800.0,7400.0
09/12/2025,3.0,Arhar Dal(Tur),9401.0,9401.0,9401.0
10/12/2025,1.5,Arhar Dal(Tur),9351.0,9351.0,9351.0
11/12/2025,2.4000000000000004,Arhar Dal(Tur),8500.0,9401.0,9000.0
15/12/2025,17.400000000000002,Arhar Dal(Tur),6650.0,9700.0,8000.0
17/12/2025,1.8,Arhar Dal(Tur),9301.0,9301.0,9301.0
22/12/2025,12.8,Arhar Dal(Tur),8900.0,9651.0,9651.0
30/12/2025,12.5,Arhar Dal(Tur),9601.0,9601.0,9601.0
31/12/2025,45.900000000000006,Arhar Dal(Tur),5700.0,10151.0,7800.0
