"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Soyabean, State : Karnataka"
"Commodity : Soyabean, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bagalakot APMC
13/12/2025,0.9,Soyabeen,4160.0,4160.0,4160.0
16/12/2025,0.30000000000000004,Soyabeen,3600.0,3600.0,3600.0
20/12/2025,0.2,Soyabeen,2750.0,2750.0,2750.0
Market Name : Bailahongal APMC
01/12/2025,528.3000000000001,Soyabeen,4100.0,4550.0,4444.0
03/12/2025,119.7,Soyabeen,3980.0,4570.0,4486.0
04/12/2025,192.5,Soyabeen,4100.0,4659.0,4523.0
05/12/2025,119.9,Soyabeen,4150.0,4675.0,4599.0
09/12/2025,94.9,Soyabeen,3950.0,4600.0,4497.0
10/12/2025,482.40000000000003,Soyabeen,3950.0,4520.0,4488.0
11/12/2025,392.0,Soyabeen,4030.0,4600.0,4451.0
12/12/2025,223.20000000000002,Soyabeen,4000.0,4650.0,4360.0
16/12/2025,89.10000000000001,Soyabeen,4000.0,4500.0,4283.0
17/12/2025,87.2,Soyabeen,3900.0,4560.0,4142.0
18/12/2025,214.60000000000002,Soyabeen,4000.0,4500.0,4401.0
20/12/2025,249.0,Soyabeen,4000.0,4550.0,4303.0
22/12/2025,139.0,Soyabeen,3900.0,4725.0,4496.0
23/12/2025,268.7,Soyabeen,3950.0,4670.0,4556.0
24/12/2025,124.30000000000001,Soyabeen,4000.0,4730.0,4581.0
26/12/2025,297.90000000000003,Local,4000.0,4730.0,4480.0
29/12/2025,520.2,Soyabeen,4000.0,4860.0,4542.0
30/12/2025,371.20000000000005,Soyabeen,4120.0,4800.0,4739.0
31/12/2025,218.4,Soyabeen,4150.0,4900.0,4771.0
Market Name : Bijapur APMC
18/12/2025,441.6,Soyabeen,4500.0,4860.0,4680.0
Market Name : Hubli (Amaragol) APMC
01/12/2025,39.0,Soyabeen,2616.0,4625.0,4391.0
02/12/2025,36.2,Soyabeen,1009.0,4589.0,4427.0
03/12/2025,53.800000000000004,Soyabeen,2209.0,4649.0,4492.0
04/12/2025,47.7,Soyabeen,809.0,4640.0,4453.0
09/12/2025,37.2,Soyabeen,3875.0,4651.0,4534.0
10/12/2025,36.0,Soyabeen,3199.0,4630.0,4306.0
11/12/2025,25.200000000000003,Soyabeen,3270.0,4631.0,4432.0
12/12/2025,28.0,Soyabeen,3875.0,4625.0,4625.0
15/12/2025,83.80000000000001,Soyabeen,1100.0,4671.0,4671.0
16/12/2025,14.5,Soyabeen,4059.0,4679.0,4625.0
17/12/2025,31.8,Soyabeen,510.0,4710.0,4653.0
18/12/2025,42.5,Soyabeen,609.0,4736.0,4693.0
20/12/2025,59.7,Soyabeen,4010.0,4809.0,4200.0
24/12/2025,38.7,Soyabeen,609.0,4819.0,4729.0
29/12/2025,114.2,Soyabeen,1205.0,4949.0,4200.0
30/12/2025,71.9,Soyabeen,4000.0,4840.0,4200.0
31/12/2025,14.3,Soyabeen,4200.0,4200.0,4200.0
Market Name : Kalagategi APMC
01/12/2025,67.0,Soyabeen,4000.0,4550.0,4416.0
08/12/2025,30.900000000000002,Soyabeen,4500.0,4500.0,4500.0
09/12/2025,26.400000000000002,Soyabeen,4200.0,4675.0,4524.0
10/12/2025,26.400000000000002,Soyabeen,4200.0,4675.0,4524.0
11/12/2025,20.200000000000003,Soyabeen,4200.0,4200.0,4200.0
12/12/2025,12.0,Soyabeen,4625.0,4625.0,4625.0
24/12/2025,13.100000000000001,Soyabeen,4800.0,4800.0,4800.0
25/12/2025,12.0,Soyabeen,4800.0,4800.0,4800.0
30/12/2025,18.400000000000002,Soyabeen,4800.0,4800.0,4800.0
Market Name : Kalburgi APMC
04/12/2025,7.5,Soyabeen,3150.0,4280.0,3850.0
24/12/2025,5.0,Soyabeen,4000.0,4500.0,4300.0
31/12/2025,3.0,Soyabeen,3500.0,4550.0,4300.0
Market Name : Sankeshwar APMC
04/12/2025,27.1,Soyabeen,4000.0,4200.0,4100.0
08/12/2025,5.1000000000000005,Soyabeen,3900.0,4100.0,4000.0
09/12/2025,7.5,Soyabeen,3800.0,4000.0,3900.0
17/12/2025,4.0,Soyabeen,4100.0,4500.0,4300.0
20/12/2025,4.0,Soyabeen,4000.0,4400.0,4200.0
23/12/2025,4.1000000000000005,Soyabeen,4200.0,4500.0,4400.0
24/12/2025,4.0,Soyabeen,4000.0,4200.0,4200.0
26/12/2025,17.0,Soyabeen,4200.0,4500.0,4400.0
Market Name : Savanur APMC
01/12/2025,0.1,Soyabeen,4551.0,4551.0,4551.0
