"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Coconut, State : Karnataka"
"Commodity : Coconut, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
10/12/2025,500.0,Grade-I,25000.0,35000.0,30000.0
Market Name : Bhadravathi APMC
02/12/2025,1500.0,Grade-III,20000.0,20000.0,20000.0
08/12/2025,2700.0,Grade-III,16000.0,28000.0,22666.0
11/12/2025,1800.0,Grade-III,15000.0,27000.0,23666.0
17/12/2025,2500.0,Grade-III,28000.0,28000.0,28000.0
18/12/2025,2400.0,Grade-III,20000.0,27500.0,23750.0
20/12/2025,1500.0,Grade-III,28000.0,28000.0,28000.0
22/12/2025,4180.5,Grade-III,27000.0,31920.0,29566.0
23/12/2025,2100.0,Grade-III,27000.0,27000.0,27000.0
26/12/2025,7014.8,Grade-III,28000.0,36000.0,32000.0
Market Name : Chamaraj Nagar APMC
01/12/2025,16554.8,Grade-I,15000.0,32000.0,26430.0
04/12/2025,6220.0,Grade-I,26000.0,32000.0,29000.0
05/12/2025,3600.0,Grade-I,24000.0,29000.0,27600.0
08/12/2025,6887.0,Grade-I,19000.0,32000.0,30000.0
09/12/2025,12944.5,Grade-I,26000.0,34000.0,28700.0
10/12/2025,3271.5,Grade-I,16000.0,34000.0,25200.0
11/12/2025,4350.0,Grade-I,18000.0,29000.0,25800.0
12/12/2025,12072.7,Grade-I,15000.0,38000.0,30500.0
13/12/2025,18329.5,Grade-I,19000.0,32000.0,23650.0
15/12/2025,12538.300000000001,Grade-I,18000.0,35000.0,27500.0
17/12/2025,11780.0,Grade-I,15000.0,32500.0,25650.0
18/12/2025,13265.0,Grade-I,25500.0,37000.0,31800.0
19/12/2025,2500.0,Grade-I,18000.0,18000.0,18000.0
20/12/2025,4787.8,Grade-I,25000.0,32000.0,29000.0
22/12/2025,4563.6,Grade-I,12000.0,33000.0,23600.0
24/12/2025,4330.0,Grade-I,29000.0,29000.0,29000.0
26/12/2025,4772.7,Grade-I,29000.0,32000.0,30300.0
27/12/2025,4850.0,Grade-I,14000.0,29000.0,24300.0
29/12/2025,9801.800000000001,Grade-I,29000.0,32000.0,30200.0
30/12/2025,7728.0,Grade-I,29000.0,29750.0,29300.0
31/12/2025,5925.700000000001,Grade-I,18000.0,32000.0,26100.0
Market Name : Davangere APMC
10/12/2025,1300.0,Grade-I,15000.0,20000.0,18000.0
29/12/2025,700.0,Grade-I,20000.0,20000.0,20000.0
31/12/2025,2331.0,Grade-I,25000.0,25000.0,25000.0
Market Name : Gundlupet APMC
02/12/2025,0.4,Grade-I,25000.0,25000.0,25000.0
05/12/2025,0.4,Grade-I,25000.0,25000.0,25000.0
11/12/2025,0.5,Grade-I,18000.0,18000.0,18000.0
12/12/2025,1.5,Grade-I,19000.0,19000.0,19000.0
Market Name : Hiriyur APMC
01/12/2025,1400.0,Grade-I,23000.0,23000.0,23000.0
Market Name : Holalkere APMC
01/12/2025,2079.0,Grade-I,29550.0,29550.0,29550.0
15/12/2025,5190.0,Grade-I,26680.0,32040.0,29645.0
18/12/2025,1576.0,Grade-I,28900.0,28900.0,28900.0
22/12/2025,2539.0,Grade-I,29120.0,29120.0,29120.0
29/12/2025,1980.0,Grade-I,25000.0,25000.0,25000.0
Market Name : Hubli (Amaragol) APMC
30/12/2025,2560.0,Grade-I,25000.0,44000.0,44000.0
Market Name : Hunsur APMC
09/12/2025,5000.0,Grade-I,20000.0,20000.0,20000.0
Market Name : K.R. Pet APMC
01/12/2025,927.8000000000001,Grade-I,28000.0,28000.0,28000.0
05/12/2025,2000.0,Grade-I,28000.0,28000.0,28000.0
08/12/2025,2564.2000000000003,Grade-I,29000.0,29000.0,29000.0
09/12/2025,2500.0,Grade-I,28000.0,28000.0,28000.0
12/12/2025,9000.0,Grade-I,30000.0,30500.0,30000.0
19/12/2025,8700.0,Grade-I,25000.0,29500.0,25000.0
20/12/2025,500.0,Grade-I,45000.0,45000.0,45000.0
26/12/2025,2000.0,Grade-I,26000.0,26000.0,26000.0
29/12/2025,1500.0,Grade-I,39000.0,39000.0,39000.0
Market Name : Kumta APMC
04/12/2025,568.0,Grade-I,21900.0,46964.0,32570.0
11/12/2025,326.6,Grade-I,21830.0,41408.0,36936.0
18/12/2025,610.6,Grade-I,41478.0,41478.0,41478.0
24/12/2025,387.0,Grade-I,38732.0,38732.0,38732.0
Market Name : Mangalore APMC
16/12/2025,50.0,Medium,2000.0,2800.0,2500.0
Market Name : Sulya APMC
16/12/2025,2100.0,Grade-I,25000.0,31000.0,28000.0
19/12/2025,3240.0,Grade-I,29000.0,35000.0,30500.0
20/12/2025,3240.0,Grade-I,29000.0,35000.0,30500.0
22/12/2025,2980.0,Grade-I,29000.0,32500.0,31000.0
26/12/2025,9119.0,Grade-I,28000.0,32500.0,30000.0
31/12/2025,2440.0,Grade-I,30000.0,32500.0,31500.0
Market Name : Yellapur APMC
09/12/2025,65.0,Grade-III,31500.0,31500.0,31500.0
15/12/2025,79.60000000000001,Grade-III,30500.0,31500.0,31500.0
16/12/2025,660.0,Grade-III,30820.0,30820.0,30820.0
20/12/2025,233.9,Grade-III,30520.0,31500.0,31000.0
23/12/2025,33.800000000000004,Grade-III,30000.0,30975.0,30500.0
31/12/2025,528.0,Grade-III,29500.0,30500.0,30500.0
