Commodity,Action,Store_Days,Expected_Price,Profit_per_Quintal,Confidence
tomato,STORE,11,4045.74,543.38,MEDIUM
onion,STORE,2,1894.37,168.26,HIGH
potato,STORE,2,1884.12,192.74,HIGH
brinjal,STORE,4,2378.65,630.08,MEDIUM
cabbage,STORE,3,1504.64,180.35,HIGH
cauliflower,STORE,4,3121.92,826.78,MEDIUM
greenchilli,STORE,11,4808.95,1201.36,MEDIUM
capsicum,STORE,4,5387.42,1697.42,MEDIUM
ladyfingure,STORE,4,3926.87,907.21,MEDIUM
bottleguard,STORE,2,1968.99,308.99,HIGH
bitterguard,STORE,4,3850.96,1082.39,MEDIUM
ridgegourd,STORE,4,3085.77,712.77,MEDIUM
pumpkin,SELL NOW,0,1600.0,0.0,LOW
cucumber,STORE,1,1626.04,322.04,HIGH
carrot,STORE,4,4138.73,1022.73,MEDIUM
paddy,SELL NOW,0,2475.43,0.0,LOW
wheat,STORE,3,3209.5,345.5,MEDIUM
maize,STORE,3,1905.04,8.19,HIGH
bajra,STORE,4,2261.98,124.64,HIGH
jowar,STORE,4,2919.47,52.47,MEDIUM
ragi,STORE,2,3700.95,15.61,HIGH
tur,STORE,11,10364.45,1679.45,MEDIUM
gram,SELL NOW,0,6802.4,0.0,LOW
greengram,SELL NOW,0,9800.0,0.0,LOW
blackgram,STORE,13,7284.69,1194.69,MEDIUM
groundnut,STORE,9,6995.83,337.83,MEDIUM
soyabean,STORE,2,4593.82,150.15,HIGH
mustard,STORE,10,15588.3,7038.3,MEDIUM
sunflower,STORE,9,7652.6,1656.6,MEDIUM
sesame,STORE,15,73575.82,63925.82,HIGH
banana,STORE,2,3298.85,1178.85,MEDIUM
apple,STORE,9,10425.09,1835.09,MEDIUM
mango,STORE,4,45399.89,40359.89,HIGH
orange,STORE,10,4102.97,252.97,MEDIUM
papaya,STORE,1,613.18,178.18,HIGH
pomegranate,SELL NOW,0,7750.0,0.0,LOW
grapes,STORE,15,54109.95,49426.95,HIGH
drychilli,STORE,13,23552.82,478.82,MEDIUM
turmeric,SELL NOW,0,15000.0,0.0,LOW
ginger,STORE,4,5251.47,2359.18,MEDIUM
garlic,SELL NOW,0,6000.0,0.0,LOW
corianderseed,STORE,3,7654.3,2099.3,MEDIUM
cotton,SELL NOW,0,7978.67,0.0,LOW
coconut,STORE,15,36637.28,8212.28,MEDIUM
arecanut,STORE,10,34909.8,2698.05,MEDIUM
